metric_category,precision,recall,f1-score,support
<=50k,0.920287727539636,0.8485381700054142,0.8829577464788733,14776.0
>50K,0.6206136633327682,0.7712239309037286,0.6877700544805561,4747.0
accuracy,0.829739281872663,0.829739281872663,0.829739281872663,0.829739281872663
macro avg,0.770450695436202,0.8098810504545715,0.7853639004797146,19523.0
weighted avg,0.8474222466816735,0.829739281872663,0.8354980336316669,19523.0
